"CODIGO","DESCRIPCION","N_OT","CANTIDAD","PRECIO_UNITARIO","SUBTOTAL","IGV","TOTAL","FECHA_REGISTRO","REPARAR","C_MONEDA","N_PROFORMA","C_PROMOCION"
"ACEITEWOLF01   ","Aceite De Motor Wolf 5w30",10000003,1,45,36,6.48,42.48,12/02/2024 03:46:00 PM,0,"S",0,""
"FILTRO03       ","Filtro De Aire Acondicionado",10000003,1,42,33.6,6.05,39.65,12/02/2024 03:46:00 PM,0,"S",0,""
"FILTRO02       ","Filtro De Aire",10000003,1,34,27.2,4.9,32.1,12/02/2024 03:46:00 PM,0,"S",0,""
"MC             ","Material Consumible",10000003,1,60,48,8.64,56.64,12/02/2024 03:46:00 PM,0,"S",0,""
"FRENOSBMW118I-A","Frenos Posteriores",10000006,1,330.5,330.5,59.49,389.99,12/02/2024 03:43:14 PM,0,"S",0,""
"SENSORBMW002   ","Sensor De Frenos Post.",10000006,1,113,113,20.34,133.34,12/02/2024 03:43:14 PM,0,"S",0,""
"","ACEITE DE CAJA AUTOMATICA",10000008,8,42,336,60.48,396.48,20/02/2023 12:29:11 PM,0,"S",0,""
"MC             ","Material Consumible",10000008,1,60,60,10.8,70.8,12/02/2024 03:42:12 PM,0,"S",0,""
"","VALVULA TPS",10000008,1,678,678,122.04,800.04,20/02/2023 12:29:11 PM,0,"S",0,""
"ACEITEWOLF01   ","Aceite De Motor Wolf 5w30",10000014,5,30,150,27,177,12/02/2024 03:40:03 PM,0,"S",0,""
"BPA000000030007","Filtro De Aceite",10000014,1,15,15,2.7,17.7,09/02/2023 04:16:56 PM,0,"S",0,""
"BPA000000030004","Filtro De Aire",10000014,1,20,20,3.6,23.6,09/02/2023 04:16:56 PM,0,"S",0,""
"BPA000000030003","Filtro De Cabina",10000014,1,20,20,3.6,23.6,09/02/2023 04:16:56 PM,0,"S",0,""
"MC             ","Material Consumible",10000014,1,30,30,5.4,35.4,12/02/2024 03:40:03 PM,0,"S",0,""
"SHAMPOO01      ","Shampoo Limpia Parabrisas",10000014,1,3,3,0.54,3.54,12/02/2024 03:40:03 PM,0,"S",0,""
"BPA000000100008","Arandela",10000014,1,2,2,0.36,2.36,09/02/2023 04:16:56 PM,0,"S",0,""
"","PONCHOS DE PALIER INT. Y EXT.",10000021,2,25,47.5,8.55,56.05,07/03/2023 02:31:36 PM,0,"S",0,""
"","PUNTAS DE PALIER",10000021,2,185,333,59.94,392.94,07/03/2023 02:31:36 PM,0,"S",0,""
"","EMPAQUE DE TAPA DE VALANCINES",10000021,1,60,57,10.26,67.26,07/03/2023 02:31:36 PM,0,"S",0,""
"BPA000000040008","Aceite 10w30 Sp/rc G6",,4,45,180,32.4,212.4,13/03/2023 03:38:34 PM,0,"S",0,""
"","ABRAZADERAS DE PALIER GRANDES",10000021,3,10,30,5.4,35.4,07/03/2023 02:31:36 PM,0,"S",0,""
"","ABRAZADERAS DE PALIER CHICAS",10000021,3,5,15,2.7,17.7,07/03/2023 02:31:36 PM,0,"S",0,""
"","SILICONA AUTOMOTRIZ",10000021,1,25,23.75,4.28,28.03,07/03/2023 02:31:36 PM,0,"S",0,""
