N_OC,CANTIDAD,OBSERVACION,PRECIO_UNITARIO,TOTAL,C_REPUESTO,IDINTERNO
10000076,1,Requerimiento Inmediato,7.17,7.17,01001-03014,50356533
10000076,1,Requerimiento Inmediato,10.66,10.66,01001-03015,50356534
10000076,1,Requerimiento Inmediato,3.18,3.18,01001-03016,50356535
10000078,1,,17.19,17.19,01001-21009,50356593
10000076,1,Requerimiento Inmediato,0.93,0.93,01001-03017,50356537
10000076,1,Requerimiento Inmediato,2.64,2.64,01001-03022,50356538
10000076,1,Requerimiento Inmediato,4.16,4.16,01001-03021,50356539
10000076,1,Requerimiento Inmediato,16.41,16.41,01001-03029,50356553
10000078,1,,262.15,262.15,01001-21010,50356594
10000078,1,,123.07,123.07,01001-21011,50356595
10000078,10,,2.08,20.8,01001-04007,50356596
10000078,10,,4.09,40.9,01001-04008,50356597
10000078,2,,15.26,30.52,01001-21012,50356598
10000078,12,,6.31,75.72,01001-21013,50356599
10000078,1,,0.01,0.01,01001-25001,50356600
10000078,1,,49.4,49.4,01001-25002,50356601
10000078,24,,12.2,292.8,01001-21014,50356602
10000078,1,,91.61,91.61,01001-25003,50356603
10000078,1,,0.01,0.01,01001-21015,50356604
10000083,1,Requerimiento Inmediato,29.67,29.67,01001-06034,50356673
10000083,1,Requerimiento Inmediato,21.19,21.19,01001-06035,50356674
10000084,1,Requerimiento Inmediato,135.6,135.6,01001-05013,50356675
10000084,1,Requerimiento Inmediato,93.23,93.23,01001-05014,50356676
10000092,1,Requerimiento Inmediato,16.94,16.94,01001-06025,50356773
10000092,1,Requerimiento Inmediato,11.86,11.86,01001-06026,50356774
10000092,1,Requerimiento Inmediato,16.94,16.94,01001-06003,50356775
10000092,4,Requerimiento Inmediato,10.6,42.4,01001-03024,50356776
10000093,1,Requerimiento Inmediato,152.54,152.54,01001-05015,50356777
10000093,1,Requerimiento Inmediato,127.12,127.12,01001-05016,50356778
10000093,1,Requerimiento Inmediato,135.59,135.59,01001-05018,50356779
10000095,1,Requerimiento Inmediato,322.03,322.03,01001-10001,50356784
10000100,3,Requerimiento Inmediato,23.73,71.19,01001-21020,50356873
10000111,1,Requerimiento Inmediato,415.25,415.25,01001-04009,50357037
10000117,1,Requerimiento Inmediato,29.66,29.66,01001-05022,50357135
10000117,1,Requerimiento Inmediato,29.66,29.66,01001-05023,50357136
10000120,1,Requerimiento Inmediato,322.03,322.03,01001-02503,50357193
10000140,1,Requerimiento Inmediato,16.94,16.94,01001-06022,50357516
10000140,1,Requerimiento Inmediato,12.72,12.72,01001-06002,50357517
10000140,1,Requerimiento Inmediato,16.95,16.95,01001-06003,50357518
10000155,1,Requerimiento Inmediato,216.27,216.27,01001-05039,50357653
